,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
81,okay look think tell rachel messed dessert,0,4,neutral,9,0
82,everybody thanksgiving,1,0,negative,9,1
83,yes dying wish ring,1,4,neutral,10,0
84,see buried ring spirit going wander nether world eternity,1,4,neutral,10,1
85,okay enough honey,0,4,neutral,10,2
86,okay enough honey,0,4,neutral,11,0
87,know let see ring,1,4,neutral,11,1
88,great okay,0,3,positive,11,2
89,right,1,4,neutral,11,3
90,thank thank thank,0,3,positive,11,4
91,oh know usual teaching aerobics partying way much,1,4,neutral,12,1
92,oh case wondering leg new james bond poster,1,4,neutral,12,2
93,hold moment another call love,0,3,positive,12,3
94,back,0,4,neutral,12,4
95,gon na get together,1,4,neutral,12,5
96,um absolutely uh tomorrow afternoon know uh central perk village say,0,4,neutral,12,6
97,great see,1,4,neutral,12,7
98,phone finally paid,0,3,positive,12,8
99,hold moment another call love,0,3,positive,13,0
100,know,1,4,neutral,13,1
101,back,0,4,neutral,13,2
102,phone finally paid,0,3,positive,13,3
103,even though good bob impression thinkin see tomorow probably gon na realize hey bob,1,4,neutral,13,4
104,hoping bob show seek comfort open arm wry stranger next table,0,4,neutral,13,5
105,oh god pure evil,1,1,negative,13,6
106,ok pure evil horny alone done,0,0,negative,13,7
107,nobody,1,0,negative,14,0
108,nobody respect bucket,1,0,negative,14,1
109,would believe people put,1,0,negative,14,2
110,look,1,0,negative,14,3
111,okay look like garbage,1,0,negative,14,4
112,wedding,1,4,neutral,15,0
113,right know really late let go let go let go,0,0,negative,15,1
114,fine watch video get back,1,4,neutral,15,2
115,fine watch video get back,1,4,neutral,16,0
116,go phoebe go phobo phewbedo phaybobo,0,3,positive,16,1
117,go phoebe go phobo phewbedo phaybobo,0,3,positive,17,0
118,thank,1,4,neutral,17,1
119,thank,1,4,neutral,17,2
120,thank,0,4,neutral,18,0
121,thank,0,4,neutral,18,1
122,right let go bye pheebs,1,3,positive,18,2
123,right let go bye pheebs,1,3,positive,19,0
124,bye pheebs,0,3,positive,19,1
125,london baby,0,3,positive,19,2
126,thank,1,4,neutral,20,0
127,thank,1,4,neutral,20,1
128,bye pheebs,0,3,positive,20,2
129,london baby,0,3,positive,20,3
130,oh need hug bring anything,1,3,positive,20,4
131,hey,0,4,neutral,21,0
132,hey estelle lined bunch audition tomorrow health insurance back time,1,3,positive,21,1
133,great toilet right,0,1,negative,21,2
134,wrong,0,1,negative,21,4
135,nothing,1,4,neutral,21,5
136,well got blinding pain stomach lifting weight uh passed uh able stand since,1,2,negative,21,6
137,um think anything serious,1,4,neutral,21,7
138,sound like hernia go doctor,0,6,negative,21,8
139,way kay look go doctor anything gon na thing sticking stomach,1,2,negative,21,9
140,hernia,0,1,negative,21,10
141,start working damn,1,0,negative,21,11
142,love place guy,0,3,positive,22,0
143,uh eighteenth century indian artifact calcutta,1,4,neutral,22,1
144,oh wow dinosaur,0,6,positive,22,2
145,much,1,4,neutral,22,3
146,well well sum fun look young,1,4,neutral,23,0
147,okay,0,4,neutral,23,1
148,enough key apartment,1,4,neutral,23,2
149,really,0,6,positive,23,3
150,really,1,4,neutral,23,4
151,think fast,0,4,neutral,23,5
152,get,1,0,negative,24,0
153,ross talk minute,0,4,neutral,24,1
154,yes please going,1,4,neutral,24,2
155,uh well joey broke,0,5,negative,24,3
156,oh god happened,1,6,negative,24,4
157,joey great guy different mean speech kept laughing homo erectus,0,5,negative,24,5
158,knew,1,0,negative,24,6
159,anyway uh think best,0,5,negative,24,7
160,hey ok,1,4,neutral,24,8
161,guess,0,5,negative,24,9
162,hum another reason thought time end joey,0,4,neutral,24,10
163,started realize feeling someone else,0,4,neutral,24,11
164,oh professor clerk kind middle conversation,1,4,neutral,24,12
165,yeah guy throw pool later,0,4,neutral,24,13
166,ok gentleman,1,0,negative,24,14
167,please,1,0,negative,24,15
168,little old,1,0,negative,24,16
169,mean scientist right,1,4,neutral,24,17
170,academic,1,0,negative,24,18
171,importantly catch u first,1,3,positive,24,19
172,go go go,1,3,positive,24,20
173,guess,0,5,negative,25,0
174,hum another reason thought time end joey,0,4,neutral,25,1
175,started realize feeling someone else,0,4,neutral,25,2
176,ok geller last day conference know happens keynote speaker,1,4,neutral,25,3
177,ok geller last day conference know happens keynote speaker,0,4,neutral,26,0
178,oh professor clerk kind middle conversation,1,4,neutral,26,1
179,ok gentleman,1,0,negative,26,2
180,please,1,0,negative,26,3
181,little old,1,0,negative,26,4
182,mean scientist right,1,4,neutral,26,5
183,academic,1,0,negative,26,6
184,importantly catch u first,1,3,positive,26,7
185,go go go,1,3,positive,26,8
186,guess,0,5,negative,27,0
187,hum another reason thought time end joey,0,4,neutral,27,1
188,started realize feeling someone else,0,4,neutral,27,2
189,yeah guy throw pool later,0,4,neutral,27,3
190,could throw,1,3,positive,27,4
191,could throw,0,3,positive,28,0
192,ok gentleman,1,0,negative,28,1
193,please,1,0,negative,28,2
194,little old,1,0,negative,28,3
195,mean scientist right,1,4,neutral,28,4
196,academic,1,0,negative,28,5
197,importantly catch u first,1,3,positive,28,6
198,go go go,1,3,positive,28,7
199,go go go,1,3,positive,29,0
200,oh yeah everybody want hat,0,3,positive,29,1
201,oh yeah everybody want hat,1,3,positive,30,0
202,oy,0,1,negative,30,1
203,oy,1,1,negative,31,0
204,sand,0,6,negative,31,1
205,oh yeah bob said might flood damage,1,4,neutral,31,2
206,oh yeah bob said might flood damage,0,4,neutral,32,0
207,yeah either really big cat,1,4,neutral,32,1
208,okay see blind guy right gon na bash head later,1,0,negative,33,0
209,oh umm big scene coming big scene coming,1,3,positive,33,1
210,said big lima bean bubbling would understand difference,0,4,neutral,33,2
211,said big lima bean bubbling would understand difference,0,4,neutral,34,0
212,rach,1,4,neutral,34,1
213,rach,0,4,neutral,35,0
214,oh boy ca watch scary,1,2,negative,35,1
215,diaper commercial,0,4,neutral,35,2
216,oh yeah well know baby responsibility ahhh,1,2,negative,35,3
217,oh yeah well know baby responsibility ahhh,1,2,negative,36,0
218,pizza delivery,0,3,positive,36,1
219,pizza delivery,0,3,positive,37,0
220,get get,1,3,positive,37,1
221,hi,0,3,positive,37,2
222,hi,1,3,positive,37,3
223,hey wan na get something eat uh wan na see long throw ball back forth huh,1,4,neutral,38,0
224,uhh ball thing,0,4,neutral,38,1
225,yeah,1,4,neutral,38,2
226,hey ross would great could go two straight hour without dropping,0,3,positive,38,3
227,uhh,1,4,neutral,38,4
228,okay,0,3,positive,38,5
229,pee rachel bathroom,0,5,negative,38,8
230,man think gon na make,0,6,positive,38,9
231,know switch hand okay,1,2,negative,38,10
232,hey,0,4,neutral,39,0
233,hey,1,4,neutral,39,1
234,go erin,1,4,neutral,40,0
235,oh unbelievable best time,0,3,positive,40,1
236,guy totally right,0,3,positive,40,5
237,much better first time went,0,3,positive,40,6
238,know,0,4,neutral,40,7
239,awkward really nervous,0,4,neutral,40,8
240,yeah really calm,0,4,neutral,40,9
241,much common,0,3,positive,40,11
242,love sandwich sport although met fan much issue ever kid well,0,3,positive,40,12
243,oh god listen talkin kid oh joey oh please get married,1,6,positive,40,13
244,okay,0,4,neutral,40,14
245,oh unbelievable best time,0,3,positive,41,0
246,yay oh mad u anymore,1,3,positive,41,1
247,guy totally right,0,3,positive,41,5
248,much better first time went,0,3,positive,41,6
249,know,0,4,neutral,41,7
250,awkward really nervous,0,4,neutral,41,8
251,sleep together,1,4,neutral,41,9
252,yeah really calm,0,4,neutral,41,10
253,much common,0,3,positive,41,12
254,love sandwich sport although met fan much issue ever kid well,0,3,positive,41,13
255,sleep public place,1,4,neutral,42,1
256,would look peaceful,0,3,positive,42,2
257,okay nodded,1,4,neutral,42,3
258,going,0,6,positive,42,4
259,would look peaceful,0,3,positive,43,0
260,oh hi,1,6,positive,43,1
261,going,0,6,positive,43,2
262,got sleep last night,1,0,negative,43,3
263,grandmother new boyfriend kind insecure bed,1,1,negative,43,4
264,oh deaf,1,4,neutral,43,5
265,constantly like reassure good time,1,4,neutral,43,6
266,idea loud,1,1,negative,43,7
267,well want stay rachel tonight,0,4,neutral,43,8
268,thanks,1,3,positive,43,9
269,oh hi,0,6,positive,44,0
270,okay nodded,1,4,neutral,44,1
271,got sleep last night,0,0,negative,44,2
272,grandmother new boyfriend kind insecure bed,0,1,negative,44,4
273,oh deaf,0,4,neutral,44,5
274,constantly like reassure good time,0,4,neutral,44,6
275,idea loud,0,1,negative,44,7
276,ew something exploded,0,1,negative,45,0
277,water breaking calm,1,4,neutral,45,1
278,water breaking mean water breaking,0,6,negative,45,2
279,breathe breathe breathe,1,4,neutral,45,3
280,insane mean joey going kill actually going kill dead,1,6,negative,46,0
281,okay think thought,0,0,negative,46,1
282,dina,1,4,neutral,46,2
283,see tell one either dwha,0,6,negative,46,3
284,okay think thought,0,0,negative,47,0
285,know one,1,6,negative,47,1
286,know one,0,6,negative,48,0
287,mean unbelievable,1,3,positive,48,1
288,mean unbelievable,1,3,positive,49,0
289,mean gina,0,4,neutral,49,1
290,dark big hair airplane earring,1,4,neutral,49,2
291,dina,0,4,neutral,49,3
292,mean gina,0,4,neutral,50,0
293,one gina,1,4,neutral,50,1
294,one gina,1,4,neutral,51,0
295,dark big hair airplane earring,0,4,neutral,51,1
296,know thought see saturday funny,0,4,neutral,52,0
297,look honey mark fashion okay like friend share stuff,0,4,neutral,52,1
298,guy would never want go lecture,0,4,neutral,52,2
299,would love go,1,3,positive,52,3
300,really,0,6,positive,52,4
301,yeah hey clothes even pick,1,4,neutral,52,5
302,mean know could fashion monger,1,4,neutral,52,6
303,okay honey would love go,0,3,positive,52,7
304,wear nervous,1,2,negative,52,8
305,know hey incredible huh,1,3,positive,53,0
306,know amazing mean totally nailed beautiful,0,3,positive,53,1
307,thank listen thanks lot tribbiani oh god look time got ta catch bus ball,1,3,positive,53,2
308,oh well okay good luck,0,3,positive,53,3
309,yeah,1,4,neutral,53,4
310,unless wan na practice foxtrot tango,0,4,neutral,53,5
311,ahh thanks see think ready dance girl,1,4,neutral,53,6
312,okay,0,4,neutral,53,7
313,yeah,1,4,neutral,53,8
314,go get em treeger,0,4,neutral,53,9
315,right hey ahh wan na come marge girlfriend,1,4,neutral,53,10
316,really,0,6,positive,53,11
317,yeah could dance real good size,1,4,neutral,53,12
318,good,0,4,neutral,53,13
319,oh god nerve wracking,1,6,negative,54,0
320,well unfortunately get many callback,0,4,neutral,54,1
321,yes knew long later,1,3,positive,54,2
322,oh great might actually get play ben dad,0,3,positive,54,3
323,yeah,1,3,positive,54,4
324,man gon na kinda weird,0,5,negative,54,5
325,yeah,1,4,neutral,54,6
326,gon na like best friend gon na weird,1,4,neutral,54,7
327,well unfortunately get many callback,1,4,neutral,55,0
328,good sign asked u hang around audition,0,6,positive,55,1
329,know,1,4,neutral,55,2
330,know,0,4,neutral,56,0
331,okay uh narrowed raymond ben kyle joey rest thank much,1,4,neutral,56,1
332,actually ca happen,1,4,neutral,56,2
333,yeah different look putting raymond kyle ben,1,4,neutral,56,3
334,either two two,1,4,neutral,56,4
335,man gon na kinda weird,0,5,negative,56,5
336,okay uh narrowed raymond ben kyle joey rest thank much,1,4,neutral,57,0
337,yes knew long later,0,3,positive,57,1
338,yeah,0,3,positive,57,2
339,actually ca happen,1,4,neutral,57,3
340,yeah different look putting raymond kyle ben,1,4,neutral,57,4
341,either two two,1,4,neutral,57,5
342,yeah,0,4,neutral,57,6
343,gon na like best friend gon na weird,0,4,neutral,57,7
344,okay come ca get married get something old something new something borrowed something blue,1,5,negative,58,0
345,okay right right right okay okay something something blue new,0,3,positive,58,1
346,please,1,0,negative,59,0
347,kidding,1,0,negative,59,1
348,hurt three huge men gave guy bloody nose mean proud really,1,0,negative,59,2
349,wonderful amazing,1,3,positive,59,3
350,think got concussion,0,2,negative,59,4
351,serious thank,1,3,positive,59,5
352,welcome sorry hurt,0,2,negative,59,6
353,worth pain know know,1,5,negative,59,7
354,wow mike thing interesting know gon na happen phoebe david,1,6,positive,60,0
355,want hint huh,0,3,positive,60,1
356,ok sensing kind word play pink barely controlled glee,1,4,neutral,60,2
357,david going propose phoebe,0,3,positive,60,3
358,chandler talked,1,0,negative,60,5
359,supposed give people advice,1,0,negative,60,6
360,could made sort inappropriate joke,1,0,negative,60,7
361,going week phoebe completely hung mike,1,0,negative,60,9
362,say david heart broken hard recover phoebe end alone,1,0,negative,60,10
363,man,0,6,positive,60,11
364,man,0,6,positive,61,0
365,oh want,1,4,neutral,61,1
366,father paul stevens dad ross geller,0,4,neutral,62,0
367,great meet paul,1,3,positive,62,1
368,okay,1,4,neutral,62,2
369,see,1,4,neutral,62,3
370,umm think give umm one chance change mind,1,2,negative,62,4
371,great meet paul,1,3,positive,63,0
372,usually prefer elizabeth boyfriend address stevens,0,4,neutral,63,1
373,course course stevens,1,4,neutral,63,2
374,ross problem,0,0,negative,63,3
375,excuse,1,6,positive,63,4
376,get girlfriend age,0,0,negative,63,5
377,funny funny,1,2,negative,63,6
378,okay,1,4,neutral,63,8
379,see,1,4,neutral,63,9
380,umm think give umm one chance change mind,1,2,negative,63,10
381,okay,0,4,neutral,63,11
382,okay give one chance change mind got one minute,0,0,negative,63,13
383,okay give one chance change mind got one minute,1,0,negative,64,0
384,daddy,0,6,negative,64,1
385,oh well tv yet,0,4,neutral,65,0
386,well wall yet,1,4,neutral,65,1
387,okay fine bring tape huh,0,4,neutral,65,2
388,okay fine bring tape huh,0,4,neutral,66,0
389,umm matt lauer clothes maybe one cleaned yet,1,4,neutral,66,1
390,ooooohh,0,6,negative,67,0
391,oh yeah sure sudden hand problem anymore,1,4,neutral,67,1
392,oh yeah sure sudden hand problem anymore,1,4,neutral,68,0
393,oh boy scout could camped,1,4,neutral,68,2
394,uma thurman,1,4,neutral,68,3
395,oh,0,6,positive,68,4
396,oh boy scout could camped,0,4,neutral,69,0
397,ooo,1,6,positive,69,1
398,uma thurman,0,4,neutral,69,2
399,oh,0,6,positive,70,0
400,actress,1,6,positive,70,1
401,thanks rach,1,4,neutral,70,2
402,tell,1,3,positive,70,3
403,tell,1,3,positive,70,4
404,moral obligation friend woman think feminist issue,1,0,negative,70,5
405,guy,1,0,negative,70,6
406,guy,1,0,negative,70,7
407,actress,1,6,positive,71,0
408,thanks rach,1,4,neutral,71,1
409,gon na,0,6,negative,71,2
410,tell,1,3,positive,71,3
411,tell,1,3,positive,71,4
412,moral obligation friend woman think feminist issue,1,0,negative,71,5
413,guy,1,0,negative,71,6
414,guy,1,0,negative,71,7
415,oh yeah tell,0,4,neutral,71,8
416,oh yeah tell,0,4,neutral,72,0
417,feminist issue went,1,4,neutral,72,1
418,feminist issue went,0,4,neutral,73,0
419,gon na hate,1,2,negative,73,1
420,actress,1,6,positive,74,0
421,thanks rach,1,4,neutral,74,1
422,tell,1,3,positive,74,2
423,tell,1,3,positive,74,3
424,moral obligation friend woman think feminist issue,1,0,negative,74,4
425,guy,1,0,negative,74,5
426,guy,1,0,negative,74,6
427,gon na hate,0,2,negative,74,7
428,yeah well,1,4,neutral,74,8
429,marry,0,2,negative,75,0
430,big night wanted wish good luck,1,3,positive,75,1
431,big night wanted wish good luck,0,3,positive,76,0
432,yeah yeah ring,1,4,neutral,76,1
433,yeah yeah ring,1,4,neutral,77,0
434,yeah right pocket pheebs,0,4,neutral,77,1
435,okay guy get want surprise gon na know,0,4,neutral,77,2
436,guy get,1,4,neutral,77,3
437,yeah right pocket pheebs,0,4,neutral,78,0
438,oh oop,1,6,positive,78,1
439,okay guy get want surprise gon na know,0,4,neutral,78,2
440,guy get,1,4,neutral,79,0
441,hi guy,0,4,neutral,79,1
442,hi guy,1,4,neutral,80,0
443,beautiful,0,3,positive,80,1
444,oh thank going,1,3,positive,80,2
445,oh thank going,0,3,positive,81,0
446,excited charity event go,1,4,neutral,81,1
447,okay umm ross,0,4,neutral,82,0
448,really warm going taking sweater,0,4,neutral,82,1
449,letting know,0,4,neutral,82,2
450,yep hilarious,1,3,positive,82,3
451,sorry done done,0,4,neutral,82,4
452,last night embarrassing,1,4,neutral,82,5
453,really mean seen naked hundred time,0,4,neutral,82,6
454,first rest building,1,4,neutral,82,7
455,okay right true embarrass easily,0,4,neutral,82,8
456,totally get embarrassed,1,6,positive,82,9
457,ross think secure person,0,4,neutral,82,10
458,yeah,0,4,neutral,82,12
459,hey lady care much want okay,1,1,negative,82,13
460,believe,0,6,positive,83,0
461,rode bike,0,3,positive,83,2
462,never thought able,0,3,positive,83,3
463,thank ross,0,3,positive,83,4
464,oh hey thank thank one faced fear ultimately overcame,1,3,positive,83,5
465,hey guy,1,4,neutral,84,0
466,mean two mean lucky one good,1,4,neutral,84,1
467,thanks man,0,4,neutral,84,2
468,baby,0,5,negative,84,3
469,total wuss,1,5,negative,84,4
470,thanks man,0,4,neutral,85,0
471,got ta go check something,1,4,neutral,85,1
472,baby,0,5,negative,85,2
473,okay lot option number prototype try,1,4,neutral,86,0
474,wow look great,0,3,positive,86,1
475,yeah okay one mushroom cap umm one made bologna,1,3,positive,86,2
476,toothpick,0,1,negative,86,3
477,kissed another woman,1,0,negative,87,0
478,call even,0,4,neutral,87,1
479,okay,1,3,positive,87,2
480,okay,0,3,positive,88,0
481,well gon na go get water,1,4,neutral,88,1
482,took hotel lobby,1,4,neutral,88,2
483,yeah think charge dirty movie bag mashuga nut got another think coming,1,0,negative,88,3
484,hey,1,6,positive,88,4
485,sweater,1,6,positive,88,5
486,looking like month,1,6,positive,88,6
487,well gon na go get water,1,4,neutral,89,0
488,wait stole people wedding,0,6,negative,89,1
489,took hotel lobby,1,4,neutral,89,2
490,yeah think charge dirty movie bag mashuga nut got another think coming,1,0,negative,89,3
491,hey,1,6,positive,89,4
492,sweater,1,6,positive,89,5
493,looking like month,1,6,positive,89,6
494,oh god,0,6,negative,89,7
495,oh god,1,6,negative,90,0
496,oh god,0,6,negative,90,1
497,happy supposed vic happy,1,0,negative,91,0
498,well tell supposed,0,0,negative,91,1
499,huh,0,6,negative,91,2
500,sure hell figure,0,0,negative,91,3
501,talk nothin,0,0,negative,91,4
502,look nothin,0,0,negative,91,5
503,nothing,0,0,negative,91,6
504,yeah,0,4,neutral,91,7
505,think character gon na need little bit reason,1,4,neutral,91,8
506,oh hey one,0,4,neutral,91,9
507,ah say script,0,0,negative,91,10
508,ah know character like either mean say script bitch,0,0,negative,91,11
509,say script,1,0,negative,91,12
510,mine,0,0,negative,91,13
511,well tell supposed,0,0,negative,92,0
512,huh,0,6,negative,92,1
513,sure hell figure,0,0,negative,92,2
514,talk nothin,0,0,negative,92,3
515,look nothin,0,0,negative,92,4
516,nothing,0,0,negative,92,5
517,tasty really starting feel like guy history nice,1,3,positive,92,6
518,peel onion first good looking,1,4,neutral,92,7
519,yeah,0,4,neutral,92,8
520,oh hey one,0,4,neutral,92,9
521,ah say script,0,0,negative,92,10
522,ah know character like either mean say script bitch,0,0,negative,92,11
523,tasty really starting feel like guy history nice,1,3,positive,93,0
524,question scene,0,4,neutral,93,1
525,yes,1,4,neutral,93,2
526,well understand adrienne attracted victor,0,1,negative,93,3
527,peel onion first good looking,1,4,neutral,93,4
528,yeah got ta tell girl tape rookie mistake,0,0,negative,94,1
529,yeah got ta tell girl tape rookie mistake,1,0,negative,95,0
530,know great video camera,0,4,neutral,95,1
531,let call em,0,4,neutral,95,2
532,yeah ask brought friend souvenir,1,3,positive,95,3
533,know great video camera,0,4,neutral,96,0
534,greg jenny,1,4,neutral,96,1
535,greg jenny,1,4,neutral,97,0
536,still wan na call em wan na call em,0,4,neutral,97,1
537,still wan na call em wan na call em,1,4,neutral,98,0
538,let call em,0,4,neutral,98,1
539,uh sorry wrong number,1,2,negative,98,2
540,go,0,4,neutral,98,3
541,hello deli,1,6,negative,98,4
542,yeah ask brought friend souvenir,0,3,positive,99,0
543,hello eighth street deli,1,4,neutral,99,1
544,hey hang get food poisoning talkin place,0,1,negative,99,2
545,uh sorry wrong number,1,2,negative,99,3
546,hello deli,1,6,negative,99,4
547,right sandwich,0,3,positive,99,5
548,think number right,1,5,negative,99,6
549,think number right,0,5,negative,100,0
550,oh come,1,5,negative,100,1
551,got ta go miss love getting real late,1,5,negative,101,0
552,hey listen made appointment bazida excuse know,0,6,negative,101,1
553,name ronni pet mortician,1,4,neutral,101,2
554,sure long,0,4,neutral,101,3
555,remember little kid used take navy yard show big ship,1,4,neutral,101,4
556,since,0,6,negative,101,5
557,six year,1,4,neutral,101,6
558,wanted put nice memory head know always terrible guy,1,4,neutral,101,7
559,joe,1,4,neutral,101,8
560,love,1,4,neutral,101,9
561,burning tomato,1,4,neutral,101,11
562,one talk,0,1,negative,101,12
563,joe dad love big time worst part two different woman,1,4,neutral,101,13
564,oh man please tell one,0,1,negative,101,14
565,course course one matter,1,6,negative,101,15
566,everything gon na right okay dick,0,4,neutral,102,0
567,hello guru saj whoa supposed duck right cause otherwise waaay league,1,6,negative,102,1
568,hey rach work,0,4,neutral,103,0
569,oh great although sit chair,1,4,neutral,103,1
570,way ross dropped box stuff,0,4,neutral,103,2
571,oh well guess one coming,1,4,neutral,103,3
572,gon na throw probably bunch shampoo,1,4,neutral,103,4
573,something wrong,0,4,neutral,103,5
574,nothing,1,4,neutral,103,6
575,said thing bringing mesozoic era century,0,4,neutral,104,0
576,yeah,1,6,positive,104,1
577,yeah,0,4,neutral,104,2
578,dude sorry said,1,5,negative,105,0
579,right ridiculous name,0,1,negative,105,1
580,bad,1,4,neutral,105,2
581,yes first name,0,0,negative,105,3
582,bing,1,4,neutral,105,4
583,apartment back,1,3,positive,106,0
584,ace high jack queen king ace,0,6,negative,106,1
585,ace low ace two three four,1,0,negative,106,2
586,pick pick,1,3,positive,106,3
587,know,1,2,negative,106,5
588,ace low ace two three four,0,0,negative,107,0
589,know ooh ooh look,1,6,positive,107,1
590,know ooh ooh look,0,6,positive,108,0
591,right cut let pick pick,1,4,neutral,108,1
592,right cut let pick pick,1,4,neutral,109,0
593,okay,0,4,neutral,109,1
594,come apartment come apartment oh know queen high,1,0,negative,109,2
595,high worked king,0,6,positive,109,3
596,high worked king,1,6,positive,110,0
597,yeah baby,0,3,positive,110,1
598,ticket please courtside baby,0,3,positive,110,2
599,seriously good game though good game mad get apartment back,1,6,negative,110,3
600,yeah baby,0,3,positive,111,0
601,pick pick,1,3,positive,111,1
602,know,1,2,negative,111,2
603,ticket please courtside baby,0,3,positive,111,3
604,know think brought enough stuff forget pack baby anvil,0,4,neutral,112,0
605,gon na worth,1,4,neutral,112,1
606,known fact woman love baby right,1,4,neutral,112,2
607,woman love guy love baby,1,4,neutral,112,3
608,whole sensitive thing,1,4,neutral,112,4
609,quick aim pack babe,1,4,neutral,112,5
610,maybe one break away,1,4,neutral,112,6
611,wait get got one hard left,1,3,positive,112,7
612,right gim baby,1,4,neutral,112,8
613,got,0,4,neutral,112,9
614,oh seriously want,0,6,positive,112,10
615,hello,1,4,neutral,112,11
616,well think immodest,0,6,positive,112,12
617,wan na smell,1,4,neutral,112,13
618,oh yeah got great baby smell get whiff head,1,3,positive,112,14
619,tell tell,1,3,positive,112,15
620,well great guy,0,4,neutral,112,16
621,well really,1,4,neutral,113,0
622,mean technically rule anything frowned upon,1,4,neutral,113,1
623,especially professor ran last night judgey von holierthanthou,1,0,negative,113,2
624,well ross careful want get reputation know professor mcnailshisstudents,0,3,positive,113,3
625,yeah,1,2,negative,113,4
626,going,0,6,negative,113,5
627,going,1,4,neutral,113,6
628,well really,1,4,neutral,114,0
629,mean technically rule anything frowned upon,1,4,neutral,114,1
630,especially professor ran last night judgey von holierthanthou,1,0,negative,114,2
631,yeah,1,2,negative,114,3
632,well ross seems pretty clear,0,4,neutral,114,4
633,mean important,0,4,neutral,114,5
634,people think feel huh,0,4,neutral,114,6
635,ross got ta follow heart,0,4,neutral,114,7
636,well ross seems pretty clear,0,4,neutral,115,0
637,mean important,0,4,neutral,115,1
638,people think feel huh,0,4,neutral,115,2
639,ross got ta follow heart,0,4,neutral,115,3
640,joey sweet,1,3,positive,115,4
641,joey even know,1,6,positive,115,5
642,ah whatever,0,0,negative,115,6
643,joey sweet,1,3,positive,116,0
644,hey,0,4,neutral,116,1
645,hey relax need time going dinner tonight,0,4,neutral,116,2
646,going,1,6,negative,116,3
647,dana caplin,0,4,neutral,116,4
648,joey even know,1,6,positive,116,5
649,well ross seems pretty clear,1,4,neutral,117,0
650,mean important,1,4,neutral,117,1
651,people think feel huh,1,4,neutral,117,2
652,ross got ta follow heart,1,4,neutral,117,3
